"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"5100.6.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1-3,2,4"
"5100.6.11 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1-3-4,2"
"5100.6.12 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1-2-3,4"
"5100.6.13 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "4/4-way directional control valve " , "4/4 directional control valve, 1-2-3-4"
"5100.7.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, general"
"5100.7.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2-way directional control valve"
"5100.7.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1,2,3,4,5"
"5100.7.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1<>2,3<>4,5"
"5100.7.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1<>2,3,4<>5"
"5100.7.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1<>3<>4,2,5"
"5100.7.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1>2,3>4,5"
"5100.7.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1>2,3,4>5"
"5100.7.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1>3,2,4<5"
"5100.7.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1<3>4,2,5"
"5100.7.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/2-way directional control valve " , "5/2 directional control valve, 1<2, 3<>4, 5"
"5100.8.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, general"
"5100.8.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3-way directional control valve"
"5100.8.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1,2,3,4,5"
"5100.8.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1<>2,3<>4,5"
"5100.8.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1<>2,3,4<>5"
"5100.8.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1<>3<>4,2,5"
"5100.8.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>2,3>4,5"
"5100.8.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>2,3,4>5"
"5100.8.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>3,2,4<5"
"5100.8.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1<3>4,2,5"
"5100.8.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>4,2>3,5"
"5100.8.11 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1<3,2,4>5"
"5100.8.12 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1, 2, 3<>4, 5"
"5100.8.13 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>5<4, 2, 3"
"5100.8.14 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 2>1<3, 1<5, 4"
"5100.8.15 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/3-way directional control valve " , "5/3 directional control valve, 1>4, 2, 3, 5"
"5100.9.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, general"
"5100.9.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4-way directional control valve"
"5100.9.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1,2,3,4,5"
"5100.9.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1<>2,3<>4,5"
"5100.9.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1<>2,3,4<>5"
"5100.9.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1<>3<>4,2,5"
"5100.9.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1>2,3>4,5"
"5100.9.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1>2,3,4>5"
"5100.9.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1>3,2,4<5"
"5100.9.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "5/4-way directional control valve " , "5/4 directional control valve, 1<3>4,2,5"
"5100.98.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "Graphic " , "Graphic"
"5100.99.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Directional control valve " , "Directional control valve, variable " , "Directional control valve, variable"
"5101.1.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Valve, general, 2 connection points"
"5101.1.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Valve, 2 connection points"
"5101.1.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Continuous valve, 2 connection points"
"5101.1.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Pressure valve, 2 connection points"
"5101.1.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Isolating valve, 2 connection points"
"5101.1.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Flow control valve, 2 connection points"
"5101.1.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "One-way flow control valve, 2 connection points"
"5101.1.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Flow dividing valve, 2 connection points"
"5101.1.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Thermostat valve, 2 connection points"
"5101.1.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Throttle valve, 2 connection points"
"5101.1.10 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Non-return valve, 2 connection points"
"5101.1.11 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Safety valve, 2 connection points"
"5101.1.12 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, 2 connection points " , "Quick exhaust valve, 2 connection points"
"5101.98.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Graphic " , "Graphic"
"5101.99.0 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Valve, general, variable"
"5101.99.1 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Valve, variable"
"5101.99.2 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Continuous valve, variable"
"5101.99.3 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Pressure valve, variable"
"5101.99.4 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Isolating valve, variable"
"5101.99.5 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Flow control valve, variable"
"5101.99.6 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "One-way flow control valve, variable"
"5101.99.7 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Flow dividing valve, variable"
"5101.99.8 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Thermostat valve, variable"
"5101.99.9 " , "Fluid power " , "Valve, distributor, and logic item " , "Valve " , "Valve, variable " , "Throttle valve, variable"
